PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36850530","Classification of Motor Imagery EEG Signals Based on Data Augmentation and Convolutional Neural Networks","Xie Y, Oniga S.","Sensors (Basel). 2023 Feb 9;23(4):1932. doi: 10.3390/s23041932.","Xie Y","Sensors (Basel)","2023","2023/02/28","PMC9961359","","10.3390/s23041932"
"27069460","Classification Scheme for Arm Motor Imagery","Tavakolan M, Yong X, Zhang X, Menon C.","J Med Biol Eng. 2016;36:12-21. doi: 10.1007/s40846-016-0102-7. Epub 2016 Jan 29.","Tavakolan M","J Med Biol Eng","2016","2016/04/13","PMC4791459","","10.1007/s40846-016-0102-7"
"36228578","Hybrid mental tasks based human computer interface via integration of pronunciation and motor imagery","Tong J, Wei X, Dong E, Sun Z, Du S, Duan F.","J Neural Eng. 2022 Nov 2;19(5). doi: 10.1088/1741-2552/ac9a01.","Tong J","J Neural Eng","2022","2022/10/13","","","10.1088/1741-2552/ac9a01"
"38027473","Recognition of motor intentions from EEGs of the same upper limb by signal traceability and Riemannian geometry features","Zhang M, Huang J, Ni S.","Front Neurosci. 2023 Oct 30;17:1270785. doi: 10.3389/fnins.2023.1270785. eCollection 2023.","Zhang M","Front Neurosci","2023","2023/11/29","PMC10643198","","10.3389/fnins.2023.1270785"
"28874909","Identification of Anisomerous Motor Imagery EEG Signals Based on Complex Algorithms","Liu R, Zhang Z, Duan F, Zhou X, Meng Z.","Comput Intell Neurosci. 2017;2017:2727856. doi: 10.1155/2017/2727856. Epub 2017 Aug 9.","Liu R","Comput Intell Neurosci","2017","2017/09/07","PMC5569879","","10.1155/2017/2727856"
"24839840","[Research of classification about BCI based on the signals energy]","Qiao J, Hu P, Hong J.","Zhongguo Yi Liao Qi Xie Za Zhi. 2014 Jan;38(1):14-8.","Qiao J","Zhongguo Yi Liao Qi Xie Za Zhi","2014","2014/05/21","","",""
"34111849","A linearly extendible multi-artifact removal approach for improved upper extremity EEG-based motor imagery decoding","Asogbon MG, Samuel OW, Li X, Nsugbe E, Scheme E, Li G.","J Neural Eng. 2021 Jun 10. doi: 10.1088/1741-2552/ac0a55. Online ahead of print.","Asogbon MG","J Neural Eng","2021","2021/06/10","","","10.1088/1741-2552/ac0a55"
"19963834","EEG-based online two-dimensional cursor control","Huang D, Lin P, Fei DY, Chen X, Bai O.","Annu Int Conf IEEE Eng Med Biol Soc. 2009;2009:4547-50. doi: 10.1109/IEMBS.2009.5332722.","Huang D","Annu Int Conf IEEE Eng Med Biol Soc","2009","2009/12/08","","","10.1109/IEMBS.2009.5332722"
"36405787","A comparative analysis of masking empirical mode decomposition and a neural network with feed-forward and back propagation along with masking empirical mode decomposition to improve the classification performance for a reliable brain-computer interface","Jaipriya D, Sriharipriya KC.","Front Comput Neurosci. 2022 Nov 4;16:1010770. doi: 10.3389/fncom.2022.1010770. eCollection 2022.","Jaipriya D","Front Comput Neurosci","2022","2022/11/21","PMC9672820","","10.3389/fncom.2022.1010770"
"39820611","Parallel convolutional neural network and empirical mode decomposition for high accuracy in motor imagery EEG signal classification","D J, K C S.","PLoS One. 2025 Jan 16;20(1):e0311942. doi: 10.1371/journal.pone.0311942. eCollection 2025.","D J","PLoS One","2025","2025/01/17","PMC11737786","","10.1371/journal.pone.0311942"
"19163552","Application of Hilbert-Huang transform for the study of motor imagery tasks","Wang L, Xu G, Wang J, Yang S, Yan W.","Annu Int Conf IEEE Eng Med Biol Soc. 2008;2008:3848-51. doi: 10.1109/IEMBS.2008.4650049.","Wang L","Annu Int Conf IEEE Eng Med Biol Soc","2008","2009/01/24","","","10.1109/IEMBS.2008.4650049"
"28091395","A novel onset detection technique for brain-computer interfaces using sound-production related cognitive tasks in simulated-online system","Song Y, Sepulveda F.","J Neural Eng. 2017 Feb;14(1):016019. doi: 10.1088/1741-2552/14/1/016019.","Song Y","J Neural Eng","2017","2017/01/17","","","10.1088/1741-2552/14/1/016019"
"29527160","A Ternary Hybrid EEG-NIRS Brain-Computer Interface for the Classification of Brain Activation Patterns during Mental Arithmetic, Motor Imagery, and Idle State","Shin J, Kwon J, Im CH.","Front Neuroinform. 2018 Feb 23;12:5. doi: 10.3389/fninf.2018.00005. eCollection 2018.","Shin J","Front Neuroinform","2018","2018/03/13","PMC5829061","","10.3389/fninf.2018.00005"
